influencer_id,handle,platform,category,risk_score,risk_band,evidence_coverage_pct,calculated_engagement_rate_pct,view_rate_pct,follower_growth_30d_pct,platform_median_engagement_rate_pct,signal_count,signals,limitations,rule_version
INF-016,creator_16,instagram,food,10,low,100,3.57,30.12,5.51,3.48,1,extreme_network_ratio (+10): Follower-to-following ratio is extreme at 1326:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-025,creator_25,instagram,beauty,10,low,100,3.38,31.81,3.35,3.48,1,extreme_network_ratio (+10): Follower-to-following ratio is extreme at 4174:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-002,creator_02,youtube,fitness,5,low,100,6.21,40.29,5.33,4.01,1,high_network_ratio (+5): Follower-to-following ratio is high at 421:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-003,creator_03,tiktok,travel,5,low,100,3.64,110.52,7.07,4.04,1,high_network_ratio (+5): Follower-to-following ratio is high at 812:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-015,creator_15,tiktok,travel,5,low,100,3.25,30.43,1.16,4.04,1,high_network_ratio (+5): Follower-to-following ratio is high at 778:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-017,creator_17,youtube,technology,5,low,100,5.10,63.67,9.15,4.01,1,high_network_ratio (+5): Follower-to-following ratio is high at 300:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-019,creator_19,instagram,beauty,5,low,100,5.82,76.25,6.63,3.48,1,high_network_ratio (+5): Follower-to-following ratio is high at 384:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-026,creator_26,youtube,fitness,5,low,100,5.28,69.70,6.79,4.01,1,high_network_ratio (+5): Follower-to-following ratio is high at 353:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-027,creator_27,tiktok,travel,5,low,100,6.90,48.81,0.8,4.04,1,high_network_ratio (+5): Follower-to-following ratio is high at 547:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-006,creator_06,tiktok,fashion,0,low,100,7.42,89.49,6.71,4.04,0,,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-007,creator_07,instagram,beauty,0,low,100,5.62,47.88,8.5,3.48,0,,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-009,creator_09,tiktok,travel,0,low,100,4.10,122.65,2.34,4.04,0,,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-012,creator_12,tiktok,fashion,0,low,100,4.57,92.37,7.77,4.04,0,,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-013,creator_13,instagram,beauty,0,low,100,4.60,36.60,2.09,3.48,0,,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-014,creator_14,youtube,fitness,0,low,100,2.93,14.90,5.87,4.01,0,,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-018,creator_18,tiktok,fashion,0,low,100,3.98,59.15,4.65,4.04,0,,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-021,creator_21,tiktok,travel,0,low,100,6.35,21.21,1.02,4.04,0,,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-023,creator_23,youtube,technology,0,low,100,6.08,20.64,5.32,4.01,0,,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-028,creator_28,instagram,food,0,low,100,6.74,28.84,5.44,3.48,0,,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-029,creator_29,youtube,technology,0,low,100,7.74,97.01,6.25,4.01,0,,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
