influencer_id,handle,platform,category,profile_text,location,primary_language,followers,following,average_likes,average_comments,average_views,average_shares,follower_growth_30d_pct,engagement_rate_pct,estimated_fee,currency,content_topics
INF-021,creator_21,tiktok,travel,"travel creator sharing practical travel, budget trips, local experiences",Pune,en,304601,1040,17016,1660,64607,675,1.02,6.13,241000,INR,travel|budget trips|local experiences
INF-022,creator_22,instagram,food,"food creator sharing practical recipes, restaurants, healthy food",Bengaluru,en,95231,1053,561,55,32374,353,0.16,0.65,46000,INR,recipes|restaurants|healthy food
INF-023,creator_23,youtube,technology,"technology creator sharing practical consumer tech, apps, productivity",Chennai,en,631376,4197,33687,3286,130304,1407,5.32,5.86,418000,INR,consumer tech|apps|productivity
INF-024,creator_24,tiktok,fashion,"fashion creator sharing practical style, ethical fashion, streetwear",Delhi,en,273189,355,2051,200,63149,584,5.35,0.82,202000,INR,style|ethical fashion|streetwear
INF-025,creator_25,instagram,beauty,"beauty creator sharing practical skincare, beauty routines, sustainable products",Hyderabad,en,818024,196,23546,2297,260177,1831,3.35,3.16,273000,INR,skincare|beauty routines|sustainable products
INF-026,creator_26,youtube,fitness,"fitness creator sharing practical fitness, wellness, home workout",Kochi,en,815301,2307,33236,3243,568276,6605,6.79,4.47,641000,INR,fitness|wellness|home workout
INF-027,creator_27,tiktok,travel,"travel creator sharing practical travel, budget trips, local experiences",Mumbai,hi,481079,879,29608,2889,234822,703,0.8,6.76,137000,INR,travel|budget trips|local experiences
INF-028,creator_28,instagram,food,"food creator sharing practical recipes, restaurants, healthy food",Pune,en,430072,2424,24953,2434,124035,1591,5.44,6.37,153000,INR,recipes|restaurants|healthy food
INF-029,creator_29,youtube,technology,"technology creator sharing practical consumer tech, apps, productivity",Bengaluru,en,81075,2435,5239,511,78654,528,6.25,7.09,58000,INR,consumer tech|apps|productivity
INF-030,creator_30,tiktok,fashion,"fashion creator sharing practical style, ethical fashion, streetwear",Chennai,en,141128,2427,212,11,25132,291,111.07,0.16,41000,INR,style|ethical fashion|streetwear
