campaign_id,campaign_name,rank,influencer_id,handle,platform,category,overall_score,campaign_fit_score,authenticity_score,engagement_quality_score,cost_efficiency_score,authenticity_risk_band,matched_terms,missing_campaign_terms,explanation,weight_version
CAM-001,EcoGlow Summer Launch,12,INF-012,creator_12,tiktok,fashion,46.75,15.00,100.00,65.00,45.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 65.00 × 15% = 9.75 | cost efficiency: 45.00 × 10% = 4.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,13,INF-026,creator_26,youtube,fitness,46.50,15.00,95.00,65.00,55.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 65.00 × 15% = 9.75 | cost efficiency: 55.00 × 10% = 5.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,14,INF-017,creator_17,youtube,technology,46.00,15.00,95.00,55.00,65.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 55.00 × 15% = 8.25 | cost efficiency: 65.00 × 10% = 6.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,15,INF-027,creator_27,tiktok,travel,46.00,0.00,95.00,85.00,95.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 0.00 × 50% = 0.00 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 85.00 × 15% = 12.75 | cost efficiency: 95.00 × 10% = 9.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,16,INF-016,creator_16,instagram,food,45.75,15.00,90.00,55.00,75.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 90.00 × 25% = 22.50 | engagement quality: 55.00 × 15% = 8.25 | cost efficiency: 75.00 × 10% = 7.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,17,INF-003,creator_03,tiktok,travel,44.00,15.00,95.00,35.00,75.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 35.00 × 15% = 5.25 | cost efficiency: 75.00 × 10% = 7.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,18,INF-014,creator_14,youtube,fitness,42.75,15.00,100.00,45.00,35.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 45.00 × 15% = 6.75 | cost efficiency: 35.00 × 10% = 3.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,19,INF-009,creator_09,tiktok,travel,39.75,0.00,100.00,55.00,65.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 0.00 × 50% = 0.00 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 55.00 × 15% = 8.25 | cost efficiency: 65.00 × 10% = 6.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,20,INF-015,creator_15,tiktok,travel,37.50,15.00,95.00,25.00,25.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 25.00 × 15% = 3.75 | cost efficiency: 25.00 × 10% = 2.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,21,INF-011,creator_11,youtube,technology,37.25,15.00,88.00,35.00,25.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 88.00 × 25% = 22.00 | engagement quality: 35.00 × 15% = 5.25 | cost efficiency: 25.00 × 10% = 2.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,22,INF-008,creator_08,youtube,fitness,36.50,15.00,83.00,25.00,45.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 83.00 × 25% = 20.75 | engagement quality: 25.00 × 15% = 3.75 | cost efficiency: 45.00 × 10% = 4.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,23,INF-018,creator_18,tiktok,fashion,35.25,0.00,100.00,45.00,35.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 0.00 × 50% = 0.00 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 45.00 × 15% = 6.75 | cost efficiency: 35.00 × 10% = 3.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,24,INF-024,creator_24,tiktok,fashion,28.75,15.00,70.00,15.00,15.00,medium,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 70.00 × 25% = 17.50 | engagement quality: 15.00 × 15% = 2.25 | cost efficiency: 15.00 × 10% = 1.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,25,INF-022,creator_22,instagram,food,28.50,15.00,75.00,5.00,15.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 75.00 × 25% = 18.75 | engagement quality: 5.00 × 15% = 0.75 | cost efficiency: 15.00 × 10% = 1.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,26,INF-005,creator_05,youtube,technology,26.00,15.00,65.00,5.00,15.00,medium,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 65.00 × 25% = 16.25 | engagement quality: 5.00 × 15% = 0.75 | cost efficiency: 15.00 × 10% = 1.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,27,INF-004,creator_04,instagram,food,25.25,15.00,60.00,15.00,5.00,medium,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 60.00 × 25% = 15.00 | engagement quality: 15.00 × 15% = 2.25 | cost efficiency: 5.00 × 10% = 0.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,28,INF-010,creator_10,instagram,food,23.25,15.00,28.00,35.00,35.00,high,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 28.00 × 25% = 7.00 | engagement quality: 35.00 × 15% = 5.25 | cost efficiency: 35.00 × 10% = 3.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,29,INF-030,creator_30,tiktok,fashion,12.50,15.00,15.00,5.00,5.00,high,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 15.00 × 25% = 3.75 | engagement quality: 5.00 × 15% = 0.75 | cost efficiency: 5.00 × 10% = 0.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,30,INF-020,creator_20,youtube,fitness,11.50,15.00,5.00,15.00,5.00,high,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 5.00 × 25% = 1.25 | engagement quality: 15.00 × 15% = 2.25 | cost efficiency: 5.00 × 10% = 0.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,1,INF-002,creator_02,youtube,fitness,87.50,83.00,95.00,85.00,95.00,low,fitness|home|wellness|workout,membership,campaign fit: 83.00 × 50% = 41.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 85.00 × 15% = 12.75 | cost efficiency: 95.00 × 10% = 9.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,2,INF-026,creator_26,youtube,fitness,80.50,83.00,95.00,65.00,55.00,low,fitness|home|wellness|workout,membership,campaign fit: 83.00 × 50% = 41.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 65.00 × 15% = 9.75 | cost efficiency: 55.00 × 10% = 5.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,3,INF-014,creator_14,youtube,fitness,76.75,83.00,100.00,45.00,35.00,low,fitness|home|wellness|workout,membership,campaign fit: 83.00 × 50% = 41.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 45.00 × 15% = 6.75 | cost efficiency: 35.00 × 10% = 3.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,4,INF-008,creator_08,youtube,fitness,70.50,83.00,83.00,25.00,45.00,low,fitness|home|wellness|workout,membership,campaign fit: 83.00 × 50% = 41.50 | authenticity: 83.00 × 25% = 20.75 | engagement quality: 25.00 × 15% = 3.75 | cost efficiency: 45.00 × 10% = 4.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,5,INF-028,creator_28,instagram,food,56.25,15.00,100.00,95.00,95.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 95.00 × 15% = 14.25 | cost efficiency: 95.00 × 10% = 9.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,6,INF-006,creator_06,tiktok,fashion,55.25,15.00,100.00,95.00,85.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 95.00 × 15% = 14.25 | cost efficiency: 85.00 × 10% = 8.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,7,INF-029,creator_29,youtube,technology,55.25,15.00,100.00,95.00,85.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 95.00 × 15% = 14.25 | cost efficiency: 85.00 × 10% = 8.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,8,INF-019,creator_19,instagram,beauty,52.50,15.00,95.00,85.00,85.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 85.00 × 15% = 12.75 | cost efficiency: 85.00 × 10% = 8.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,9,INF-023,creator_23,youtube,technology,51.25,15.00,100.00,75.00,75.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 75.00 × 15% = 11.25 | cost efficiency: 75.00 × 10% = 7.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,10,INF-007,creator_07,instagram,beauty,50.25,15.00,100.00,75.00,65.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 75.00 × 15% = 11.25 | cost efficiency: 65.00 × 10% = 6.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,11,INF-021,creator_21,tiktok,travel,49.25,15.00,100.00,75.00,55.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 75.00 × 15% = 11.25 | cost efficiency: 55.00 × 10% = 5.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,12,INF-012,creator_12,tiktok,fashion,46.75,15.00,100.00,65.00,45.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 65.00 × 15% = 9.75 | cost efficiency: 45.00 × 10% = 4.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,13,INF-013,creator_13,instagram,beauty,46.75,15.00,100.00,65.00,45.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 65.00 × 15% = 9.75 | cost efficiency: 45.00 × 10% = 4.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,14,INF-017,creator_17,youtube,technology,46.00,15.00,95.00,55.00,65.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 55.00 × 15% = 8.25 | cost efficiency: 65.00 × 10% = 6.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,15,INF-027,creator_27,tiktok,travel,46.00,0.00,95.00,85.00,95.00,low,,fitness|home|membership|wellness|workout,campaign fit: 0.00 × 50% = 0.00 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 85.00 × 15% = 12.75 | cost efficiency: 95.00 × 10% = 9.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,16,INF-016,creator_16,instagram,food,45.75,15.00,90.00,55.00,75.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 90.00 × 25% = 22.50 | engagement quality: 55.00 × 15% = 8.25 | cost efficiency: 75.00 × 10% = 7.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,17,INF-020,creator_20,youtube,fitness,45.50,83.00,5.00,15.00,5.00,high,fitness|home|wellness|workout,membership,campaign fit: 83.00 × 50% = 41.50 | authenticity: 5.00 × 25% = 1.25 | engagement quality: 15.00 × 15% = 2.25 | cost efficiency: 5.00 × 10% = 0.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,18,INF-003,creator_03,tiktok,travel,44.00,15.00,95.00,35.00,75.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 35.00 × 15% = 5.25 | cost efficiency: 75.00 × 10% = 7.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,19,INF-025,creator_25,instagram,beauty,42.25,15.00,90.00,45.00,55.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 90.00 × 25% = 22.50 | engagement quality: 45.00 × 15% = 6.75 | cost efficiency: 55.00 × 10% = 5.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,20,INF-009,creator_09,tiktok,travel,39.75,0.00,100.00,55.00,65.00,low,,fitness|home|membership|wellness|workout,campaign fit: 0.00 × 50% = 0.00 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 55.00 × 15% = 8.25 | cost efficiency: 65.00 × 10% = 6.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,21,INF-015,creator_15,tiktok,travel,37.50,15.00,95.00,25.00,25.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 25.00 × 15% = 3.75 | cost efficiency: 25.00 × 10% = 2.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,22,INF-011,creator_11,youtube,technology,37.25,15.00,88.00,35.00,25.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 88.00 × 25% = 22.00 | engagement quality: 35.00 × 15% = 5.25 | cost efficiency: 25.00 × 10% = 2.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,23,INF-018,creator_18,tiktok,fashion,35.25,0.00,100.00,45.00,35.00,low,,fitness|home|membership|wellness|workout,campaign fit: 0.00 × 50% = 0.00 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 45.00 × 15% = 6.75 | cost efficiency: 35.00 × 10% = 3.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,24,INF-001,creator_01,instagram,beauty,33.25,15.00,78.00,25.00,25.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 78.00 × 25% = 19.50 | engagement quality: 25.00 × 15% = 3.75 | cost efficiency: 25.00 × 10% = 2.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,25,INF-024,creator_24,tiktok,fashion,28.75,15.00,70.00,15.00,15.00,medium,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 70.00 × 25% = 17.50 | engagement quality: 15.00 × 15% = 2.25 | cost efficiency: 15.00 × 10% = 1.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,26,INF-022,creator_22,instagram,food,28.50,15.00,75.00,5.00,15.00,low,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 75.00 × 25% = 18.75 | engagement quality: 5.00 × 15% = 0.75 | cost efficiency: 15.00 × 10% = 1.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,27,INF-005,creator_05,youtube,technology,26.00,15.00,65.00,5.00,15.00,medium,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 65.00 × 25% = 16.25 | engagement quality: 5.00 × 15% = 0.75 | cost efficiency: 15.00 × 10% = 1.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,28,INF-004,creator_04,instagram,food,25.25,15.00,60.00,15.00,5.00,medium,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 60.00 × 25% = 15.00 | engagement quality: 15.00 × 15% = 2.25 | cost efficiency: 5.00 × 10% = 0.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,29,INF-010,creator_10,instagram,food,23.25,15.00,28.00,35.00,35.00,high,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 28.00 × 25% = 7.00 | engagement quality: 35.00 × 15% = 5.25 | cost efficiency: 35.00 × 10% = 3.50,ranking-weights-v1.0
CAM-002,PulseFit Challenge,30,INF-030,creator_30,tiktok,fashion,12.50,15.00,15.00,5.00,5.00,high,,fitness|home|membership|wellness|workout,campaign fit: 15.00 × 50% = 7.50 | authenticity: 15.00 × 25% = 3.75 | engagement quality: 5.00 × 15% = 0.75 | cost efficiency: 5.00 × 10% = 0.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,1,INF-021,creator_21,tiktok,travel,75.81,68.13,100.00,75.00,55.00,low,budget|experience|local|travel|trip,affordable|package|weekend,campaign fit: 68.12 × 50% = 34.06 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 75.00 × 15% = 11.25 | cost efficiency: 55.00 × 10% = 5.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,2,INF-027,creator_27,tiktok,travel,72.56,53.13,95.00,85.00,95.00,low,budget|experience|local|travel|trip,affordable|package|weekend,campaign fit: 53.12 × 50% = 26.56 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 85.00 × 15% = 12.75 | cost efficiency: 95.00 × 10% = 9.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,3,INF-003,creator_03,tiktok,travel,70.56,68.13,95.00,35.00,75.00,low,budget|experience|local|travel|trip,affordable|package|weekend,campaign fit: 68.12 × 50% = 34.06 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 35.00 × 15% = 5.25 | cost efficiency: 75.00 × 10% = 7.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,4,INF-009,creator_09,tiktok,travel,66.31,53.13,100.00,55.00,65.00,low,budget|experience|local|travel|trip,affordable|package|weekend,campaign fit: 53.12 × 50% = 26.56 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 55.00 × 15% = 8.25 | cost efficiency: 65.00 × 10% = 6.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,5,INF-015,creator_15,tiktok,travel,64.06,68.13,95.00,25.00,25.00,low,budget|experience|local|travel|trip,affordable|package|weekend,campaign fit: 68.12 × 50% = 34.06 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 25.00 × 15% = 3.75 | cost efficiency: 25.00 × 10% = 2.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,6,INF-028,creator_28,instagram,food,56.25,15.00,100.00,95.00,95.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 95.00 × 15% = 14.25 | cost efficiency: 95.00 × 10% = 9.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,7,INF-006,creator_06,tiktok,fashion,55.25,15.00,100.00,95.00,85.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 95.00 × 15% = 14.25 | cost efficiency: 85.00 × 10% = 8.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,8,INF-029,creator_29,youtube,technology,55.25,15.00,100.00,95.00,85.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 95.00 × 15% = 14.25 | cost efficiency: 85.00 × 10% = 8.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,9,INF-002,creator_02,youtube,fitness,53.50,15.00,95.00,85.00,95.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 85.00 × 15% = 12.75 | cost efficiency: 95.00 × 10% = 9.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,10,INF-019,creator_19,instagram,beauty,52.50,15.00,95.00,85.00,85.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 85.00 × 15% = 12.75 | cost efficiency: 85.00 × 10% = 8.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,11,INF-023,creator_23,youtube,technology,51.25,15.00,100.00,75.00,75.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 75.00 × 15% = 11.25 | cost efficiency: 75.00 × 10% = 7.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,12,INF-007,creator_07,instagram,beauty,50.25,15.00,100.00,75.00,65.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 75.00 × 15% = 11.25 | cost efficiency: 65.00 × 10% = 6.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,13,INF-012,creator_12,tiktok,fashion,46.75,15.00,100.00,65.00,45.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 65.00 × 15% = 9.75 | cost efficiency: 45.00 × 10% = 4.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,14,INF-013,creator_13,instagram,beauty,46.75,15.00,100.00,65.00,45.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 65.00 × 15% = 9.75 | cost efficiency: 45.00 × 10% = 4.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,15,INF-026,creator_26,youtube,fitness,46.50,15.00,95.00,65.00,55.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 65.00 × 15% = 9.75 | cost efficiency: 55.00 × 10% = 5.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,16,INF-017,creator_17,youtube,technology,46.00,15.00,95.00,55.00,65.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 55.00 × 15% = 8.25 | cost efficiency: 65.00 × 10% = 6.50,ranking-weights-v1.0
CAM-003,WanderLite Weekends,17,INF-016,creator_16,instagram,food,45.75,15.00,90.00,55.00,75.00,low,,affordable|budget|experience|local|package|travel|trip|weekend,campaign fit: 15.00 × 50% = 7.50 | authenticity: 90.00 × 25% = 22.50 | engagement quality: 55.00 × 15% = 8.25 | cost efficiency: 75.00 × 10% = 7.50,ranking-weights-v1.0
